seed,qubits,relative_rms_noise,sigma,algorithm,M,relative_l2_error,fit_ms,evaluation_256_ms,total_postprocessing_256_ms,data_generation_ms
20260727,4,0.0050000000000000001,0.00125,unconstrained,3,0.48908705777470285,0.0064373700000000004,2.3383756,2.34481297,158.87601945333333
20260727,4,0.0050000000000000001,0.00125,polar_projected,3,0.48931905242932949,0.18430920000000001,2.4251757,2.6094849,158.87601945333333
20260727,4,0.0050000000000000001,0.00125,unitary_curve,3,0.500541255245469,0.1823552,49.058338999999997,49.2406942,158.87601945333333
20260727,4,0.01,0.0025000000000000001,unconstrained,3,0.48890793309648473,0.0064503900000000003,2.3805012000000003,2.3869515900000002,158.87601945333333
20260727,4,0.01,0.0025000000000000001,polar_projected,3,0.48934981712092401,0.18242529999999998,2.4311476999999999,2.6135729999999997,158.87601945333333
20260727,4,0.01,0.0025000000000000001,unitary_curve,3,0.50090694692914184,0.18130370000000001,45.372106666666667,45.553410366666668,158.87601945333333
20260727,4,0.02,0.0050000000000000001,unconstrained,3,0.4887387397874377,0.0064519,2.5410661000000001,2.5475180000000002,158.87601945333333
20260727,4,0.02,0.0050000000000000001,polar_projected,3,0.48953334345105509,0.18103929999999999,2.4459637000000001,2.6270030000000002,158.87601945333333
20260727,4,0.02,0.0050000000000000001,unitary_curve,3,0.50182687745125532,0.1826036,49.284989333333336,49.467592933333336,158.87601945333333
20260727,4,0.029999999999999999,0.0074999999999999997,unconstrained,3,0.48882279726869032,0.0064517000000000003,2.6704005,2.6768521999999999,158.87601945333333
20260727,4,0.029999999999999999,0.0074999999999999997,polar_projected,3,0.48987945918200204,0.22551749999999998,2.3705145000000001,2.5960320000000001,158.87601945333333
20260727,4,0.029999999999999999,0.0074999999999999997,unitary_curve,3,0.50299742882230902,0.2253462,44.587676333333327,44.813022533333324,158.87601945333333
20260727,4,0.0050000000000000001,0.00125,unconstrained,5,0.21093136554648326,0.0157261,2.9253122999999999,2.9410384000000001,166.52504457333333
20260727,4,0.0050000000000000001,0.00125,polar_projected,5,0.21068377807202979,0.30734620000000001,2.8163966999999999,3.1237428999999999,166.52504457333333
20260727,4,0.0050000000000000001,0.00125,unitary_curve,5,0.20924673517692857,0.30911689999999997,44.959172666666667,45.268289566666667,166.52504457333333
20260727,4,0.01,0.0025000000000000001,unconstrained,5,0.21183957979625756,0.015381180000000001,2.8246709999999999,2.8400521799999998,166.52504457333333
20260727,4,0.01,0.0025000000000000001,polar_projected,5,0.21125083307372347,0.30782989999999999,2.7446480000000002,3.0524779000000004,166.52504457333333
20260727,4,0.01,0.0025000000000000001,unitary_curve,5,0.20969339768338824,0.30837680000000001,39.800575333333335,40.108952133333332,166.52504457333333
20260727,4,0.02,0.0050000000000000001,unconstrained,5,0.21519781181625169,0.01544677,2.9375679999999997,2.9530147699999998,166.52504457333333
20260727,4,0.02,0.0050000000000000001,polar_projected,5,0.21366276902603543,0.30808840000000004,2.7322315000000001,3.0403199000000001,166.52504457333333
20260727,4,0.02,0.0050000000000000001,unitary_curve,5,0.21195898724290752,0.31054700000000002,39.266863999999998,39.577410999999998,166.52504457333333
20260727,4,0.029999999999999999,0.0074999999999999997,unconstrained,5,0.22052301384593817,0.01549946,3.0317661,3.04726556,166.52504457333333
20260727,4,0.029999999999999999,0.0074999999999999997,polar_projected,5,0.2177253678618857,0.35350389999999998,2.9035394000000001,3.2570433000000003,166.52504457333333
20260727,4,0.029999999999999999,0.0074999999999999997,unitary_curve,5,0.21600063381482126,0.35476969999999997,43.204801000000003,43.559570700000002,166.52504457333333
20260727,4,0.0050000000000000001,0.00125,unconstrained,8,0.031413150984005621,0.03506306,3.4982671000000005,3.5333301600000007,166.98425965999999
20260727,4,0.0050000000000000001,0.00125,polar_projected,8,0.031217484170299452,0.50449250000000001,3.7458634000000002,4.2503559000000006,166.98425965999999
20260727,4,0.0050000000000000001,0.00125,unitary_curve,8,0.030880859607820877,0.50492819999999994,34.464615333333334,34.969543533333336,166.98425965999999
20260727,4,0.01,0.0025000000000000001,unconstrained,8,0.045030340243039819,0.03541238,3.4297066999999997,3.4651190799999996,166.98425965999999
20260727,4,0.01,0.0025000000000000001,polar_projected,8,0.044200213120310292,0.50674989999999998,3.5121538000000001,4.0189037000000001,166.98425965999999
20260727,4,0.01,0.0025000000000000001,unitary_curve,8,0.04420666753560927,0.50745790000000002,34.028466666666667,34.535924566666665,166.98425965999999
20260727,4,0.02,0.0050000000000000001,unconstrained,8,0.07859130845186342,0.034889000000000003,3.7087662000000003,3.7436552000000005,166.98425965999999
20260727,4,0.02,0.0050000000000000001,polar_projected,8,0.07637988992166464,0.504193,3.7502909999999998,4.2544839999999997,166.98425965999999
20260727,4,0.02,0.0050000000000000001,unitary_curve,8,0.077023178596446917,0.50417610000000002,37.246782666666668,37.75095876666667,166.98425965999999
20260727,4,0.029999999999999999,0.0074999999999999997,unconstrained,8,0.11435671933120872,0.034903719999999999,3.4582856999999998,3.4931894199999998,166.98425965999999
20260727,4,0.029999999999999999,0.0074999999999999997,polar_projected,8,0.11079946932254689,0.57615810000000001,3.4891695,4.0653275999999998,166.98425965999999
20260727,4,0.029999999999999999,0.0074999999999999997,unitary_curve,8,0.11201590363413981,0.57651169999999996,33.065592333333335,33.642104033333332,166.98425965999999
20260727,4,0.0050000000000000001,0.00125,unconstrained,12,0.031833915696416089,0.07378767,4.5075085000000001,4.5812961699999999,172.29490452333332
20260727,4,0.0050000000000000001,0.00125,polar_projected,12,0.031227396186935999,0.78918900000000003,4.1017448999999999,4.8909339000000003,172.29490452333332
20260727,4,0.0050000000000000001,0.00125,unitary_curve,12,0.031383737257076751,0.78791710000000004,34.800266333333333,35.588183433333334,172.29490452333332
20260727,4,0.01,0.0025000000000000001,unconstrained,12,0.063604349824842074,0.073903540000000004,4.9948945,5.0687980399999999,172.29490452333332
20260727,4,0.01,0.0025000000000000001,polar_projected,12,0.062365787649826164,0.78706490000000007,4.2677306999999995,5.0547955999999994,172.29490452333332
20260727,4,0.01,0.0025000000000000001,unitary_curve,12,0.062684831809895245,0.79189799999999999,35.442982333333333,36.234880333333336,172.29490452333332
20260727,4,0.02,0.0050000000000000001,unconstrained,12,0.1271892429915972,0.073713459999999995,4.3073937999999998,4.3811072599999994,172.29490452333332
20260727,4,0.02,0.0050000000000000001,polar_projected,12,0.12462740612277706,0.78687760000000007,4.0849908999999993,4.8718684999999997,172.29490452333332
20260727,4,0.02,0.0050000000000000001,unitary_curve,12,0.12527412136320129,0.79185400000000006,35.382046666666668,36.173900666666668,172.29490452333332
