seed,sigma,M,relative_l2_error,fit_ms,reconstruction_256_ms,postprocessing_256_ms
20260727,0.0050000000000000001,3,0.30681975272914808,0.00049518200000000004,0.075106939999999997,0.075602121999999994
20260727,0.0050000000000000001,5,0.14955853636025598,0.0013058384999999999,0.093821244999999998,0.095127083500000001
20260727,0.0050000000000000001,8,0.055984904151898565,0.0030567245,0.121503045,0.1245597695
20260727,0.0050000000000000001,12,0.094476641974296283,0.0065734839999999992,0.15874136999999999,0.16531485399999998
20260727,0.0050000000000000001,16,0.11693482507612113,0.0114421305,0.19957043999999999,0.2110125705
