seed,sigma,algorithm,M,relative_l2_error,learning_ms,reconstruction_256_ms
20260727,0,unconstrained,3,0.30701215255083425,0.00049752049999999995,0.074155869999999999
20260727,0,polar_projected,3,0.30701215255083275,0.0022443154999999999,0.073779159999999996
20260727,0.001,unconstrained,3,0.30692337420109617,0.00050681900000000004,0.073775610000000005
20260727,0.001,polar_projected,3,0.30699052869717602,0.0073063995000000005,0.073713015000000007
20260727,0.0025000000000000001,unconstrained,3,0.30683751593206943,0.00050189249999999994,0.077925485000000003
20260727,0.0025000000000000001,polar_projected,3,0.30700357381221705,0.0073145270000000004,0.079322815000000005
20260727,0.0050000000000000001,unconstrained,3,0.30681975272914808,0.0005001195000000001,0.076839544999999995
20260727,0.0050000000000000001,polar_projected,3,0.30714722843794678,0.0074189350000000006,0.076109880000000005
20260727,0.01,unconstrained,3,0.30724791336851925,0.00050016950000000002,0.07530879
20260727,0.01,polar_projected,3,0.30789508586000347,0.0072712324999999996,0.073937849999999999
20260727,0.02,unconstrained,3,0.3098995924406,0.00049734050000000004,0.073603399999999999
20260727,0.02,polar_projected,3,0.31124590112332418,0.0090234100000000008,0.073883415000000008
20260727,0,unconstrained,5,0.15089682526369286,0.00126644,0.094972305000000007
20260727,0,polar_projected,5,0.1508968252636935,0.0042942565000000004,0.093891600000000006
20260727,0.001,unconstrained,5,0.15000438168352273,0.0012924935,0.098115734999999996
20260727,0.001,polar_projected,5,0.1501304277092734,0.0126880095,0.093324149999999995
20260727,0.0025000000000000001,unconstrained,5,0.14924963972592623,0.0012561644999999999,0.096760769999999996
20260727,0.0025000000000000001,polar_projected,5,0.1495242026784297,0.012779346,0.094360195000000008
20260727,0.0050000000000000001,unconstrained,5,0.14955853636025598,0.0012697799999999999,0.096206794999999998
20260727,0.0050000000000000001,polar_projected,5,0.14998375866454383,0.012815244,0.094890685000000002
20260727,0.01,unconstrained,5,0.15585070739794799,0.0012550980000000001,0.093651040000000005
20260727,0.01,polar_projected,5,0.15631611341133633,0.012851848499999999,0.092967774999999989
20260727,0.02,unconstrained,5,0.18688672346672089,0.0012518379999999999,0.092934470000000005
20260727,0.02,polar_projected,5,0.18724294446685455,0.015520600999999998,0.113120265
20260727,0,unconstrained,8,0.012922262807773711,0.0030169454999999998,0.121865585
20260727,0,polar_projected,8,0.012922262807773288,0.0077247825000000001,0.12976414
20260727,0.001,unconstrained,8,0.017073087287776623,0.0030497290000000002,0.14711881999999998
20260727,0.001,polar_projected,8,0.016842611129621411,0.021528908499999999,0.12102528
20260727,0.0025000000000000001,unconstrained,8,0.030320729686379649,0.003007867,0.122180205
20260727,0.0025000000000000001,polar_projected,8,0.029861448239047038,0.021187110000000002,0.121201695
20260727,0.0050000000000000001,unconstrained,8,0.055984904151898565,0.0030411915000000001,0.12859980999999998
20260727,0.0050000000000000001,polar_projected,8,0.055353782886698677,0.021325631000000001,0.121012565
20260727,0.01,unconstrained,8,0.10906627876879428,0.0030098999999999998,0.120906605
20260727,0.01,polar_projected,8,0.10855025411820839,0.0211513215,0.12878413
20260727,0.02,unconstrained,8,0.21533159088897366,0.0030182170000000001,0.12107435499999999
20260727,0.02,polar_projected,8,0.21663850751978012,0.024591281499999999,0.12107811
20260727,0,unconstrained,12,0.00015624721752534876,0.0064687935000000002,0.15808063999999999
20260727,0,polar_projected,12,0.00015624721752539631,0.0135055265,0.15810442499999999
20260727,0.001,unconstrained,12,0.018923845774879714,0.0064867800000000002,0.17342822999999999
20260727,0.001,polar_projected,12,0.018637136519338012,0.033797003500000006,0.16175515499999998
20260727,0.0025000000000000001,unconstrained,12,0.047284169453968308,0.0064784374999999998,0.15823101000000001
20260727,0.0025000000000000001,polar_projected,12,0.046607695126532553,0.033976100000000002,0.17822406999999998
20260727,0.0050000000000000001,unconstrained,12,0.094476641974296283,0.0064946214999999996,0.16897202
20260727,0.0050000000000000001,polar_projected,12,0.093253399240956297,0.033986370500000002,0.16085316500000002
20260727,0.01,unconstrained,12,0.18858932295787617,0.0064770204999999997,0.17010853999999997
20260727,0.01,polar_projected,12,0.18664361962584722,0.033983310500000002,0.170246645
20260727,0.02,unconstrained,12,0.37580116137078318,0.0064563594999999998,0.15930185499999999
20260727,0.02,polar_projected,12,0.37378009635547566,0.039199789999999998,0.16010835499999998
20260727,0,unconstrained,16,8.2952069905001331e-06,0.0113096785,0.19631119000000002
20260727,0,polar_projected,16,8.2952069892646491e-06,0.020593917,0.1981975
20260727,0.001,unconstrained,16,0.023424682010879647,0.011300824499999999,0.20311637000000002
20260727,0.001,polar_projected,16,0.022854236060355769,0.047532938000000004,0.19483819499999999
20260727,0.0025000000000000001,unconstrained,16,0.058526586601905746,0.011219779499999999,0.19445938000000001
20260727,0.0025000000000000001,polar_projected,16,0.057130185510084447,0.047645715500000005,0.22217153000000001
20260727,0.0050000000000000001,unconstrained,16,0.11693482507612113,0.011390248,0.19523954499999999
20260727,0.0050000000000000001,polar_projected,16,0.11423993720789431,0.047526378000000001,0.21797789000000001
20260727,0.01,unconstrained,16,0.23341061028118401,0.011281596499999999,0.19702840999999999
20260727,0.01,polar_projected,16,0.22839309044763959,0.0474830735,0.19398723499999998
20260727,0.02,unconstrained,16,0.46511945691015233,0.0113433835,0.22354507500000001
20260727,0.02,polar_projected,16,0.45640776439138681,0.057197725499999998,0.22524855999999999
