seed,sigma,algorithm,M,relative_l2_error,learning_ms,reconstruction_256_ms
20260727,0.0050000000000000001,unconstrained,3,0.30681975272914808,0.00050882249999999998,0.076217994999999997
20260727,0.0050000000000000001,polar_projected,3,0.30714722843794678,0.0073995435000000003,0.081221940000000006
20260727,0.0050000000000000001,unconstrained,5,0.14955853636025598,0.0012622290000000001,0.10296780500000001
20260727,0.0050000000000000001,polar_projected,5,0.14998375866454383,0.0129377615,0.093843175000000001
20260727,0.0050000000000000001,unconstrained,8,0.055984904151898565,0.0030176664999999997,0.12798169000000001
20260727,0.0050000000000000001,polar_projected,8,0.055353782886698677,0.021594005500000003,0.12678786
20260727,0.0050000000000000001,unconstrained,12,0.094476641974296283,0.0064767449999999999,0.15799726
20260727,0.0050000000000000001,polar_projected,12,0.093253399240956297,0.034068057000000006,0.17428115
20260727,0.0050000000000000001,unconstrained,16,0.11693482507612113,0.0112865085,0.20665674000000001
20260727,0.0050000000000000001,polar_projected,16,0.11423993720789431,0.048760545000000002,0.20506103499999997
